iter	Passed	Remaining
0	1	106
1	1	97
2	2	91
3	3	86
4	4	86
5	5	86
6	6	84
7	7	83
8	8	82
9	9	85
10	10	85
11	11	85
12	12	84
13	13	84
14	14	83
15	15	81
16	16	80
17	17	79
18	18	78
19	19	78
20	20	76
21	21	75
22	22	75
23	23	74
24	24	73
25	25	71
26	26	70
27	26	68
28	27	67
29	28	66
30	29	65
31	29	63
32	30	62
33	31	61
34	32	59
35	33	59
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	49	41
54	49	40
55	50	39
56	51	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	55	32
63	56	31
64	57	31
65	58	30
66	60	29
67	60	28
68	62	27
69	62	26
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	77	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	89	0
