iter	Passed	Remaining
0	133	133815
1	135	67653
2	136	45414
3	137	34249
4	138	27541
5	139	23050
6	139	19839
7	140	17444
8	141	15569
9	142	14069
10	142	12842
11	143	11817
12	144	10950
13	144	10211
14	145	9567
15	146	9003
16	147	8506
17	147	8063
18	148	7672
19	149	7319
20	150	6998
21	150	6706
22	151	6440
23	152	6213
24	153	5991
25	154	5783
26	155	5589
27	155	5409
28	156	5240
29	157	5085
30	158	4939
31	158	4802
32	159	4677
33	160	4555
34	161	4440
35	161	4332
36	162	4229
37	163	4139
38	164	4048
39	165	3962
40	165	3880
41	166	3801
42	167	3732
43	168	3668
44	169	3599
45	170	3532
46	171	3468
47	171	3407
48	172	3350
49	173	3294
50	174	3238
51	174	3186
52	175	3135
53	176	3086
54	176	3039
55	177	2994
56	178	2953
57	179	2911
58	180	2871
59	180	2832
60	181	2794
61	182	2756
62	182	2720
63	183	2685
64	184	2651
65	185	2618
66	185	2587
67	186	2556
68	187	2526
69	187	2497
70	188	2468
71	189	2441
72	190	2414
73	190	2387
74	191	2361
75	192	2338
76	193	2316
77	194	2295
78	194	2272
79	195	2250
80	196	2227
81	197	2206
82	197	2181
83	198	2161
84	198	2141
85	199	2121
86	200	2102
87	201	2083
88	201	2065
89	202	2047
90	203	2029
91	203	2011
92	204	1994
93	205	1977
94	205	1961
95	206	1946
96	207	1934
97	208	1919
98	209	1905
99	210	1891
100	210	1877
101	211	1862
102	212	1848
103	213	1835
104	213	1821
105	214	1808
106	215	1795
107	215	1782
108	216	1770
109	217	1757
110	217	1745
111	218	1733
112	219	1721
113	220	1710
114	220	1698
115	221	1687
116	222	1676
117	223	1667
118	223	1658
119	224	1648
120	225	1638
121	226	1627
122	226	1617
123	227	1607
124	228	1597
125	228	1588
126	229	1577
127	230	1568
128	230	1559
129	231	1550
130	232	1541
131	233	1532
132	233	1523
133	234	1514
134	235	1506
135	235	1497
136	236	1489
137	237	1482
138	238	1476
139	239	1468
140	239	1461
141	240	1452
142	241	1444
143	241	1437
144	242	1429
145	243	1422
146	243	1415
147	244	1408
148	245	1401
149	246	1394
150	246	1387
151	247	1380
152	248	1374
153	248	1367
154	249	1362
155	250	1356
156	251	1351
157	252	1345
158	253	1340
159	254	1335
160	254	1328
161	255	1323
162	256	1318
163	257	1314
164	258	1308
165	259	1303
166	260	1297
167	260	1291
168	261	1285
169	262	1280
170	262	1274
171	263	1270
172	264	1265
173	265	1260
174	266	1254
175	266	1250
176	267	1245
177	268	1241
178	269	1236
179	270	1232
180	271	1229
181	272	1225
182	273	1220
183	274	1215
184	274	1210
185	275	1205
186	276	1200
187	276	1195
188	277	1190
189	278	1187
190	279	1182
191	279	1178
192	280	1173
193	281	1168
194	282	1164
195	283	1161
196	283	1157
197	284	1153
198	285	1150
199	286	1146
200	287	1142
201	288	1138
202	288	1134
203	289	1129
204	290	1125
205	290	1121
206	291	1117
207	292	1113
